ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,,,商品分類（1）,商品分類（2）,画像調整,,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,カラー（単色）,,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,ボウル横幅（B-W),ボウル奥行,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,MBL,MW,MBE,MGR,FG,MO,SR,AB,W,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,SIZE_B-W,SIZE_B-H,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,COLOUR_MBL,COLOUR_MW,COLOUR_MBE,COLOUR_MGR,COLOUR_FG,COLOUR_MO,COLOUR_SR,COLOUR_ABU,COLOUR_W,COLOUR_DEFAULT
63,lavatory,LW1215,,,,Wall mount：Squre,wallmount,,500,167,450,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
64,lavatory,LW1216,,,,Wall mount：Squre,wallmount,,600,167,450,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
65,lavatory,LT532,,,,Wall mount：Squre,wallmount,,610,50,490,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
66,lavatory,LT530,,,,Wall mount：Squre,wallmount,,700,100,565,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
67,lavatory,LW136,,,,Wall mount：Squre,wallmount,,654,160,483,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
68,lavatory,LT307,,,,Wall mount：Squre,wallmount,,530,180,458,,,S,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
71,lavatory,LW947,,,,Wall mount：Round,wallmount,,600,195,500,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
72,lavatory,L239,,,,Wall mount：Round,wallmount,,530,210,465,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
73,lavatory,LT300,,,,Wall mount：Round,wallmount,,500,190,430,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
75,lavatory,LPT236CV,,,,Wall mount：Round,wallmount,,530,195,465,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
76,lavatory,L238CGUT1,,,,Wall mount：Round,wallmount,,560,210,460,,,R,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
77,lavatory,LW240CJ,,,,Wall mount：Round,wallmount,,500,180,350,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
78,lavatory,LPT241G,,,,Wall mount：Round,wallmount,,580,190,500,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
79,lavatory,PJS03,,,,GALALATO,galalato,,600,120,400,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
80,lavatory,PJS06,,,,GALALATO,galalato,,600,120,380,,,R,outset,,,,,if2021,,,,,,,,,,,,,,,,,,,1,W
81,lavatory,PJS02,,,,GALALATO,galalato,,600,120,400,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
82,lavatory,PJS07,,,,GALALATO,galalato,,600,150,380,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
83,lavatory,PJS01,,,,GALALATO,galalato,,632,154,404,,,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
84,lavatory,PJS05,,,,GALALATO,galalato,,600,120,380,,,R,outset,,,,,if2021,,,,,,,,,,,,,,,,,,,1,W
85,lavatory,LW588RB,,,,Under：Round,under,,560,200,430,507,380,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
86,lavatory,LW765B,,,,Under：Square,under,,540,200,460,480,400,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
87,lavatory,LW586R,,,,Under：Square,under,,550,186,490,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
88,lavatory,LW582,,,,Under：Round,under,,600,200,515,,,R,inset,,,,,,,,,,,,,,,,,,,,,,,,1,W
