OUTPUT,OVER_HEAD_SHOWER,,,,HEAD_SHOWER,,,SPAUT,,,CONTROLLER,,,,,,VALVE,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-1,MLR0232,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-1,MLR0332,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-1,MLR0432,L,Round,R,VGR02,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MZS0231,Z,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGR1131,G,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGR0131,G,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGR0331,G,Round,R,VGR03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGS0731,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGS0831,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGS0931,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGS1031,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGS0431,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MGS0231,G,Square,S,VGS03,,,
2,Y,Z,Square,S,G,Round,R,,,,lever,2YL-2,MLR0131,L,Round,R,VGR03,,,
