ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE (over head shower),GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA (over head shower),WARM SPA (hand shower),COMFORT WAVE (hand shower),INTENSE WAVE,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,TECH_12,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
305,hand-shower,TBW01010,HGR31,G,,Round,R,,,,,3mode,,,https://www.toto.com/en/gb_faucet/,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
306,over-head-shower,TBW01004,OGR2W,G,,Round,R,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
308,valve,TBV01101,VGR01,G,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
309,controller,TBV02402,MGS9943,G,,Square,S,,,,,switch,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
310,embedded-valve,TBN01101,VGR13,,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
311,hand-shower,TBW02006,HGS31,G,,Square,S,,,,,3mode,,,https://www.toto.com/en/gb_faucet/,,,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
312,over-head-shower,TBW02004,OGS2W,G,,Square,S,,,,,wall,,,https://www.toto.com/en/gb_faucet/,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
314,valve,TBV01102,VGR13,G,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
315,valve,TBV02101,VGS01,G,,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
316,embedded-valve,TBN01102,VGR02,,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
317,hand-shower,TBW02017,HGY12,G,,Y,S,,,,,1mode,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
319,shower-elbow,TBW01014,AER1,,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
320,valve,TBV01103,VGR02,G,,Round,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
